id,id_productor,familiar_modif,sexo,edad,trabajo_modif,estudio_modif,ayuda_modif,migracion_modif,ganado_modif,created_at,updated_at,est_i
643,214,PADRE,HOMBRE,0,CAMPESINO,NO ESTUDIA,AVECES,0,OVINOS-CAPRINOS,05/07/2018 12:09,8/20/2017 18:08,1
644,215,PADRE,HOMBRE,0,CAMPESINO,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,8/20/2017 18:32,1
645,215,MADRE,MUJER,0,CAMPESINO,NO ESTUDIA,AVECES,SI,0,05/07/2018 12:09,8/20/2017 18:33,1
646,200,PADRE,HOMBRE,70,CAMPESINO,NO ESTUDIA,AVECES,NO,OVINOS-CAPRINOS,05/07/2018 12:09,8/20/2017 18:35,1
647,200,HIJO(A),MUJER,33,CAMPESINO,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/20/2017 18:40,1
648,200,NIETO(A),HOMBRE,16,NO TRABAJA,NO ESTUDIA,0,NO,NO POSEE GANADO,05/07/2018 12:09,8/20/2017 18:42,1
649,200,NIETO(A),HOMBRE,8,NO TRABAJA,PRIMARIA,0,NO,NO POSEE GANADO,05/07/2018 12:09,8/20/2017 18:44,1
650,216,PADRE,HOMBRE,0,CAMPESINO,NO ESTUDIA,AVECES,SI,AVES DE CORRAL Y BOVINOS,05/07/2018 12:09,8/20/2017 18:47,1
651,216,MADRE,MUJER,0,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,8/20/2017 18:47,1
652,216,HIJO(A),HOMBRE,0,OTROS,NO ESTUDIA,AVECES,SI,0,05/07/2018 12:09,8/20/2017 18:48,1
653,217,PADRE,HOMBRE,0,CAMPESINO,NO ESTUDIA,AVECES,SI,0,05/07/2018 12:09,8/20/2017 19:14,1
654,217,SUEGRO(A),HOMBRE,0,CAMPESINO,NO ESTUDIA,AVECES,0,OVINOS-CAPRINOS,05/07/2018 12:09,8/20/2017 19:14,1
655,219,PADRE,HOMBRE,0,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,8/20/2017 19:34,1
656,220,PADRE,HOMBRE,0,TRABAJA EN TIENDA,NO ESTUDIA,AVECES,SI,0,05/07/2018 12:09,8/20/2017 21:32,1
657,221,PADRE,HOMBRE,0,OTROS,NO ESTUDIA,AVECES,SI,0,05/07/2018 12:09,8/20/2017 22:25,1
658,221,MADRE,MUJER,40,CAMPESINO,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,8/20/2017 22:26,1
659,222,MADRE,MUJER,0,CAMPESINO,NO ESTUDIA,AVECES,0,OVINOS-CAPRINOS,05/07/2018 12:09,8/20/2017 23:28,1
660,223,MADRE,MUJER,0,OTROS,NO ESTUDIA,AVECES,SI,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,8/20/2017 23:42,1
661,218,PADRE,HOMBRE,49,JORNALERO,SIN ESCOLARIDAD,SI,SI,BOVINOS Y PORCINOS,05/07/2018 12:09,8/21/2017 2:11,1
662,218,INDEFINIDO,MUJER,44,AMA DE CASA,NO ESTUDIA,SI,SI,NO POSEE GANADO,05/07/2018 12:09,8/21/2017 2:14,1
