id,id_productor,compra_venta,articulos,TIPO ARTICULO,nombre_esp,nombre_len,lugar_obtencion,lugar_modif,frecuencia,frecuencia_modif,comentarios,created_at,updated_at,Freq_anual
1282,126,COMPRA,PLANTAS Y FRUTOS,Non,HIERBABUENA,ALUENOJ , MILPA  ,EN LA MILPA,CADA 2 SEMANAS ,2 VECES AL MES,1 ROLLO ,03/05/2018 15:27,29/07/2017 17:01,0.06575
1291,126,COMPRA,BEBIDAS ,Non,LECHE,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 SEMANAS ,2 VECES AL MES,3 LITROS,03/05/2018 15:27,29/07/2017 22:44,0.06575
1293,127,COMPRA,PLANTAS Y FRUTOS,Non,EPAZOTE ,APATSOTL, MILPA  ,EN LA MILPA,CADA 2 SEMANAS ,2 VECES AL MES,1 ROLLO ,03/05/2018 15:27,30/07/2017 05:19,0.06575
1306,127,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SOPAS,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 SEMANAS ,2 VECES AL MES,,03/05/2018 15:27,30/07/2017 05:29,0.06575
1308,127,COMPRA,BEBIDAS ,Non,LECHE,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 SEMANAS ,2 VECES AL MES,6 LITROS ,03/05/2018 15:27,30/07/2017 05:30,0.06575
1323,128,COMPRA,BEBIDAS ,Non,LECHE ,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 SEMANAS ,2 VECES AL MES,3 LITROS ,03/05/2018 15:27,02/08/2017 01:59,0.06575
1325,129,COMPRA,PLANTAS Y FRUTOS,Non,HIERBABUENA,ALUENOJ ,MILPA,EN LA MILPA,CADA 2 SEMANAS ,2 VECES AL MES,1 ROLLO ,03/05/2018 15:27,04/08/2017 03:35,0.06575
1328,129,COMPRA,BEBIDAS ,Non,CAFÉ,CAFÉ CHIKITOJ,MILPA,EN LA MILPA,CADA 1/2 MESES ,2 VECES AL MES, 1 LITRO ,03/05/2018 15:27,04/08/2017 03:37,0.06575
1334,129,COMPRA,BEBIDAS ,Non,AGUA DE FRUTAS ,ATL KUATAJKAYOTL ,mercado ,EN EL MERCADO O TIANGUIS, CADA 2 SEMANAS ,2 VECES AL MES,½ LITRO ,03/05/2018 15:27,04/08/2017 03:42,0.06575
1345,130,COMPRA,PLANTAS Y FRUTOS,Non,HIERBABUENA,ALUENOJ ,milpa / mercado ,EN LA MILPA O MERCADO,CADA 2 SEMANAS ,2 VECES AL MES,1 ROLLO,03/05/2018 15:27,04/08/2017 04:37,0.06575
